unit_id,recording_id,utterance_index,duration,word_count,baseline_wer,adapted_wer,wer_delta,improved,teacher_selected_wer,teacher_accepted_updates,teacher_skipped_updates,mean_vote_count,mean_vote_fraction
BarrySchwartz_2005G:0105:1158.42-1169.05,BarrySchwartz_2005G,105,10.629999999999882,28,0.07142857142857142,0.07142857142857142,0.0,False,,0,3,,
BlaiseAguerayArcas_2007:0000:12.20-15.72,BlaiseAguerayArcas_2007,0,3.5200000000000014,14,0.0,0.0,0.0,False,,0,3,,
BlaiseAguerayArcas_2007:0001:15.72-24.25,BlaiseAguerayArcas_2007,1,8.53,27,0.14814814814814814,0.14814814814814814,0.0,False,,0,3,,
BlaiseAguerayArcas_2007:0002:24.25-40.62,BlaiseAguerayArcas_2007,2,16.369999999999997,54,0.14814814814814814,0.14814814814814814,0.0,False,,0,3,,
BlaiseAguerayArcas_2007:0003:40.62-54.60,BlaiseAguerayArcas_2007,3,13.980000000000004,55,0.09090909090909091,0.09090909090909091,0.0,False,,0,3,,
BlaiseAguerayArcas_2007:0004:54.60-62.85,BlaiseAguerayArcas_2007,4,8.25,37,0.13513513513513514,0.13513513513513514,0.0,False,,0,3,,
BlaiseAguerayArcas_2007:0005:62.85-74.52,BlaiseAguerayArcas_2007,5,11.669999999999995,34,0.11764705882352941,0.11764705882352941,0.0,False,,0,3,,
BlaiseAguerayArcas_2007:0006:74.52-83.35,BlaiseAguerayArcas_2007,6,8.829999999999998,40,0.075,0.075,0.0,False,,0,3,,
BlaiseAguerayArcas_2007:0007:83.35-98.47,BlaiseAguerayArcas_2007,7,15.120000000000005,61,0.13114754098360656,0.13114754098360656,0.0,False,,0,3,,
BlaiseAguerayArcas_2007:0008:98.47-108.86,BlaiseAguerayArcas_2007,8,10.39,40,0.175,0.175,0.0,False,,0,3,,
BlaiseAguerayArcas_2007:0009:108.86-121.34,BlaiseAguerayArcas_2007,9,12.480000000000004,46,0.08695652173913043,0.08695652173913043,0.0,False,,0,3,,
BlaiseAguerayArcas_2007:0010:121.34-134.12,BlaiseAguerayArcas_2007,10,12.780000000000001,48,0.16666666666666666,0.16666666666666666,0.0,False,,0,3,,
BlaiseAguerayArcas_2007:0011:134.12-142.99,BlaiseAguerayArcas_2007,11,8.870000000000005,41,0.0975609756097561,0.0975609756097561,0.0,False,,0,3,,
BlaiseAguerayArcas_2007:0012:144.29-148.40,BlaiseAguerayArcas_2007,12,4.110000000000014,18,0.16666666666666666,0.16666666666666666,0.0,False,,0,3,,
BlaiseAguerayArcas_2007:0013:149.84-171.41,BlaiseAguerayArcas_2007,13,21.569999999999993,81,0.24691358024691357,0.24691358024691357,0.0,False,,0,6,,
BlaiseAguerayArcas_2007:0014:171.41-182.72,BlaiseAguerayArcas_2007,14,11.310000000000002,49,0.14285714285714285,0.14285714285714285,0.0,False,,0,3,,
BlaiseAguerayArcas_2007:0015:182.72-196.97,BlaiseAguerayArcas_2007,15,14.25,43,0.20930232558139536,0.20930232558139536,0.0,False,,0,3,,
BlaiseAguerayArcas_2007:0016:197.03-206.23,BlaiseAguerayArcas_2007,16,9.199999999999989,19,0.10526315789473684,0.10526315789473684,0.0,False,,0,3,,
BlaiseAguerayArcas_2007:0017:206.23-220.84,BlaiseAguerayArcas_2007,17,14.610000000000014,67,0.1044776119402985,0.1044776119402985,0.0,False,,0,3,,
BlaiseAguerayArcas_2007:0018:220.84-233.57,BlaiseAguerayArcas_2007,18,12.72999999999999,49,0.14285714285714285,0.14285714285714285,0.0,False,,0,3,,
BlaiseAguerayArcas_2007:0019:233.63-241.09,BlaiseAguerayArcas_2007,19,7.460000000000008,25,1.0,1.0,0.0,False,,0,3,,
BlaiseAguerayArcas_2007:0020:241.09-251.95,BlaiseAguerayArcas_2007,20,10.859999999999985,36,0.05555555555555555,0.05555555555555555,0.0,False,,0,3,,
BlaiseAguerayArcas_2007:0021:253.30-259.99,BlaiseAguerayArcas_2007,21,6.689999999999998,30,0.13333333333333333,0.13333333333333333,0.0,False,,0,3,,
BlaiseAguerayArcas_2007:0022:270.83-276.92,BlaiseAguerayArcas_2007,22,6.090000000000032,32,0.3125,0.3125,0.0,False,,0,3,,
BlaiseAguerayArcas_2007:0023:280.63-294.57,BlaiseAguerayArcas_2007,23,13.939999999999998,55,0.4,0.4,0.0,False,,0,3,,
BlaiseAguerayArcas_2007:0024:294.57-298.56,BlaiseAguerayArcas_2007,24,3.990000000000009,12,0.4166666666666667,0.4166666666666667,0.0,False,,0,3,,
BlaiseAguerayArcas_2007:0025:299.61-312.56,BlaiseAguerayArcas_2007,25,12.949999999999989,40,0.275,0.275,0.0,False,,0,3,,
